driverId,q1_timing,q2_timing,q3_timing,race_id,position,qualifying_pos,prev_year_pos,season,round
frentzen,1:20.309,0,0,1995_7,10,12,0.0,1995,7
blundell,1:20.527,0,0,1995_7,11,13,0.0,1995,7
salo,1:20.796,0,0,1995_7,15,14,0.0,1995,7
boullion,1:20.943,0,0,1995_7,18,15,0.0,1995,7
morbidelli,1:21.076,0,0,1995_7,14,16,0.0,1995,7
badoer,1:21.323,0,0,1995_7,13,17,0.0,1995,7
inoue,1:21.894,0,0,1995_7,22,18,0.0,1995,7
katayama,1:21.930,0,0,1995_7,23,19,0.0,1995,7
martini,1:22.104,0,0,1995_7,20,20,0.0,1995,7
montermini,1:23.466,0,0,1995_7,17,21,0.0,1995,7
gachot,1:23.647,0,0,1995_7,19,22,0.0,1995,7
diniz,1:24.184,0,0,1995_7,24,23,0.0,1995,7
moreno,1:24.865,0,0,1995_7,16,24,0.0,1995,7
damon_hill,1:28.124,0,0,1995_8,15,1,0.0,1995,8
michael_schumacher,1:28.397,0,0,1995_8,14,2,0.0,1995,8
coulthard,1:28.947,0,0,1995_8,3,3,0.0,1995,8
berger,1:29.657,0,0,1995_8,20,4,0.0,1995,8
herbert,1:29.867,0,0,1995_8,1,5,0.0,1995,8
alesi,1:29.874,0,0,1995_8,2,6,0.0,1995,8
irvine,1:30.083,0,0,1995_8,24,7,0.0,1995,8
hakkinen,1:30.140,0,0,1995_8,19,8,0.0,1995,8
barrichello,1:30.354,0,0,1995_8,11,9,0.0,1995,8
blundell,1:30.453,0,0,1995_8,5,10,0.0,1995,8
brundle,1:30.946,0,0,1995_8,21,11,0.0,1995,8
frentzen,1:31.602,0,0,1995_8,6,12,0.0,1995,8
panis,1:31.842,0,0,1995_8,4,13,0.0,1995,8
katayama,1:32.087,0,0,1995_8,17,14,0.0,1995,8
martini,1:32.259,0,0,1995_8,7,15,0.0,1995,8
boullion,1:33.166,0,0,1995_8,9,16,0.0,1995,8
papis,1:34.154,0,0,1995_8,16,17,0.0,1995,8
badoer,1:34.556,0,0,1995_8,10,18,0.0,1995,8
inoue,1:35.323,0,0,1995_8,22,19,0.0,1995,8
diniz,1:36.023,0,0,1995_8,23,20,0.0,1995,8
gachot,1:36.076,0,0,1995_8,12,21,0.0,1995,8
moreno,1:36.651,0,0,1995_8,13,22,0.0,1995,8
salo,1:48.639,0,0,1995_8,8,23,0.0,1995,8
montermini,1:52.398,0,0,1995_8,18,24,0.0,1995,8
damon_hill,1:44.385,0,0,1995_9,22,1,0.0,1995,9
michael_schumacher,1:44.465,0,0,1995_9,1,2,0.0,1995,9
coulthard,1:44.540,0,0,1995_9,2,3,0.0,1995,9
berger,1:45.553,0,0,1995_9,3,4,0.0,1995,9
barrichello,1:45.765,0,0,1995_9,15,5,0.0,1995,9
irvine,1:45.846,0,0,1995_9,9,6,0.0,1995,9
hakkinen,1:45.849,0,0,1995_9,10,7,0.0,1995,9
blundell,1:46.221,0,0,1995_9,16,8,0.0,1995,9
herbert,1:46.315,0,0,1995_9,4,9,0.0,1995,9
alesi,1:46.356,0,0,1995_9,18,10,0.0,1995,9
frentzen,1:46.801,0,0,1995_9,11,11,0.0,1995,9
panis,1:47.372,0,0,1995_9,17,12,0.0,1995,9
salo,1:47.507,0,0,1995_9,23,13,0.0,1995,9
boullion,1:47.636,0,0,1995_9,5,14,0.0,1995,9
papis,1:48.093,0,0,1995_9,24,15,0.0,1995,9
badoer,1:49.302,0,0,1995_9,12,16,0.0,1995,9
katayama,1:49.402,0,0,1995_9,7,17,0.0,1995,9
suzuki,1:49.716,0,0,1995_9,6,18,0.0,1995,9
inoue,1:49.892,0,0,1995_9,20,19,0.0,1995,9
martini,1:49.990,0,0,1995_9,19,20,0.0,1995,9
diniz,1:52.961,0,0,1995_9,21,21,0.0,1995,9
moreno,1:53.405,0,0,1995_9,14,22,0.0,1995,9
montermini,1:53.492,0,0,1995_9,8,23,0.0,1995,9
lavaggi,1:54.625,0,0,1995_9,13,24,0.0,1995,9
damon_hill,1:16.982,0,0,1995_10,1,1,0.0,1995,10
coulthard,1:17.366,0,0,1995_10,2,2,0.0,1995,10
michael_schumacher,1:17.558,0,0,1995_10,11,3,0.0,1995,10
berger,1:18.059,0,0,1995_10,3,4,0.0,1995,10
hakkinen,1:18.363,0,0,1995_10,24,5,0.0,1995,10
alesi,1:18.968,0,0,1995_10,19,6,0.0,1995,10
irvine,1:19.499,0,0,1995_10,13,7,0.0,1995,10
brundle,1:19.748,0,0,1995_10,14,8,0.0,1995,10
herbert,1:20.072,0,0,1995_10,4,9,0.0,1995,10
panis,1:20.160,0,0,1995_10,6,10,0.0,1995,10
frentzen,1:20.413,0,0,1995_10,5,11,0.0,1995,10
badoer,1:20.543,0,0,1995_10,8,12,0.0,1995,10
blundell,1:20.640,0,0,1995_10,16,13,0.0,1995,10
barrichello,1:20.902,0,0,1995_10,7,14,0.0,1995,10
lamy,1:21.156,0,0,1995_10,9,15,0.0,1995,10
salo,1:21.624,0,0,1995_10,15,16,0.0,1995,10
katayama,1:21.702,0,0,1995_10,17,17,0.0,1995,10
inoue,1:22.081,0,0,1995_10,21,18,0.0,1995,10
boullion,1:22.161,0,0,1995_10,10,19,0.0,1995,10
papis,1:23.275,0,0,1995_10,18,20,0.0,1995,10
moreno,1:24.351,0,0,1995_10,22,21,0.0,1995,10
montermini,1:24.371,0,0,1995_10,12,22,0.0,1995,10
diniz,1:24.695,0,0,1995_10,20,23,0.0,1995,10
lavaggi,1:26.570,0,0,1995_10,23,24,0.0,1995,10
berger,1:54.392,0,0,1995_11,18,1,0.0,1995,11
alesi,1:54.631,0,0,1995_11,23,2,0.0,1995,11
hakkinen,1:55.435,0,0,1995_11,24,3,0.0,1995,11
herbert,1:56.085,0,0,1995_11,7,4,0.0,1995,11
coulthard,1:56.254,0,0,1995_11,22,5,0.0,1995,11
blundell,1:56.622,0,0,1995_11,5,6,0.0,1995,11
irvine,1:57.001,0,0,1995_11,19,7,0.0,1995,11
damon_hill,1:57.768,0,0,1995_11,2,8,0.0,1995,11
panis,1:58.021,0,0,1995_11,9,9,0.0,1995,11
frentzen,1:58.148,0,0,1995_11,4,10,0.0,1995,11
salo,1:58.224,0,0,1995_11,8,11,0.0,1995,11
barrichello,1:58.293,0,0,1995_11,6,12,0.0,1995,11
brundle,1:58.314,0,0,1995_11,3,13,0.0,1995,11
boullion,1:58.356,0,0,1995_11,11,14,0.0,1995,11
katayama,1:58.551,0,0,1995_11,15,15,0.0,1995,11
michael_schumacher,1:59.079,0,0,1995_11,1,16,0.0,1995,11
lamy,1:59.256,0,0,1995_11,10,17,0.0,1995,11
inoue,2:00.990,0,0,1995_11,12,18,0.0,1995,11
badoer,2:01.013,0,0,1995_11,17,19,0.0,1995,11
papis,2:01.685,0,0,1995_11,20,20,0.0,1995,11
montermini,2:02.405,0,0,1995_11,21,21,0.0,1995,11
moreno,2:03.817,0,0,1995_11,14,22,0.0,1995,11
lavaggi,2:06.407,0,0,1995_11,16,23,0.0,1995,11
diniz,2:09.537,0,0,1995_11,13,24,0.0,1995,11
coulthard,1:24.462,0,0,1995_12,19,1,0.0,1995,12
michael_schumacher,1:25.026,0,0,1995_12,16,2,0.0,1995,12
berger,1:25.353,0,0,1995_12,14,3,0.0,1995,12
damon_hill,1:25.699,0,0,1995_12,17,4,0.0,1995,12
alesi,1:25.707,0,0,1995_12,11,5,0.0,1995,12
barrichello,1:25.919,0,0,1995_12,12,6,0.0,1995,12
hakkinen,1:25.920,0,0,1995_12,2,7,0.0,1995,12
herbert,1:26.433,0,0,1995_12,1,8,0.0,1995,12
blundell,1:26.472,0,0,1995_12,4,9,0.0,1995,12
frentzen,1:26.541,0,0,1995_12,3,10,0.0,1995,12
brundle,1:27.067,0,0,1995_12,20,11,0.0,1995,12
irvine,1:27.271,0,0,1995_12,13,12,0.0,1995,12
panis,1:27.384,0,0,1995_12,18,13,0.0,1995,12
boullion,1:28.741,0,0,1995_12,6,14,0.0,1995,12
papis,1:28.870,0,0,1995_12,7,15,0.0,1995,12
salo,1:29.028,0,0,1995_12,5,16,0.0,1995,12
katayama,1:29.287,0,0,1995_12,10,17,0.0,1995,12
badoer,1:29.559,0,0,1995_12,15,18,0.0,1995,12
lamy,1:29.936,0,0,1995_12,22,19,0.0,1995,12
inoue,1:30.515,0,0,1995_12,8,20,0.0,1995,12
montermini,1:30.721,0,0,1995_12,23,21,0.0,1995,12
moreno,1:30.834,0,0,1995_12,24,22,0.0,1995,12
diniz,1:32.102,0,0,1995_12,9,23,0.0,1995,12
lavaggi,1:32.470,0,0,1995_12,21,24,0.0,1995,12
coulthard,1:20.537,0,0,1995_13,1,1,0.0,1995,13
damon_hill,1:20.905,0,0,1995_13,3,2,0.0,1995,13
michael_schumacher,1:21.301,0,0,1995_13,2,3,0.0,1995,13
berger,1:21.970,0,0,1995_13,4,4,0.0,1995,13
frentzen,1:22.226,0,0,1995_13,6,5,0.0,1995,13
herbert,1:22.322,0,0,1995_13,7,6,0.0,1995,13
alesi,1:22.391,0,0,1995_13,5,7,0.0,1995,13
barrichello,1:22.538,0,0,1995_13,11,8,0.0,1995,13
brundle,1:22.588,0,0,1995_13,8,9,0.0,1995,13
irvine,1:22.831,0,0,1995_13,10,10,0.0,1995,13
panis,1:22.904,0,0,1995_13,21,11,0.0,1995,13
blundell,1:22.914,0,0,1995_13,9,12,0.0,1995,13
hakkinen,1:23.064,0,0,1995_13,19,13,0.0,1995,13
boullion,1:23.934,0,0,1995_13,12,14,0.0,1995,13
salo,1:23.936,0,0,1995_13,13,15,0.0,1995,13
katayama,1:24.287,0,0,1995_13,23,16,0.0,1995,13
lamy,1:24.657,0,0,1995_13,22,17,0.0,1995,13
badoer,1:24.778,0,0,1995_13,14,18,0.0,1995,13
inoue,1:24.883,0,0,1995_13,15,19,0.0,1995,13
papis,1:25.179,0,0,1995_13,24,20,0.0,1995,13
montermini,1:26.172,0,0,1995_13,18,21,0.0,1995,13
diniz,1:27.292,0,0,1995_13,16,22,0.0,1995,13
moreno,1:27.523,0,0,1995_13,17,23,0.0,1995,13
deletraz,1:32.769,0,0,1995_13,20,24,0.0,1995,13
coulthard,1:18.738,0,0,1995_14,3,1,0.0,1995,14
damon_hill,1:18.972,0,0,1995_14,16,2,0.0,1995,14
michael_schumacher,1:19.150,0,0,1995_14,1,3,0.0,1995,14
berger,1:19.821,0,0,1995_14,19,4,0.0,1995,14
irvine,1:20.488,0,0,1995_14,6,5,0.0,1995,14
alesi,1:20.510,0,0,1995_14,2,6,0.0,1995,14
herbert,1:20.653,0,0,1995_14,5,7,0.0,1995,14
frentzen,1:20.749,0,0,1995_14,21,8,0.0,1995,14
hakkinen,1:20.866,0,0,1995_14,8,9,0.0,1995,14
blundell,1:20.909,0,0,1995_14,23,10,0.0,1995,14
barrichello,1:21.211,0,0,1995_14,4,11,0.0,1995,14
brundle,1:21.541,0,0,1995_14,7,12,0.0,1995,14
boullion,1:22.059,0,0,1995_14,18,13,0.0,1995,14
panis,1:22.062,0,0,1995_14,22,14,0.0,1995,14
salo,1:23.058,0,0,1995_14,10,15,0.0,1995,14
lamy,1:23.328,0,0,1995_14,9,16,0.0,1995,14
papis,1:23.689,0,0,1995_14,12,17,0.0,1995,14
badoer,1:23.760,0,0,1995_14,11,18,0.0,1995,14
tarquini,1:24.286,0,0,1995_14,14,19,0.0,1995,14
montermini,1:24.696,0,0,1995_14,17,20,0.0,1995,14
inoue,1:24.900,0,0,1995_14,24,21,0.0,1995,14
diniz,1:25.157,0,0,1995_14,13,22,0.0,1995,14
moreno,1:26.098,0,0,1995_14,20,23,0.0,1995,14
deletraz,1:27.853,0,0,1995_14,15,24,0.0,1995,14
coulthard,1:14.013,0,0,1995_15,2,1,0.0,1995,15
damon_hill,1:14.213,0,0,1995_15,3,2,0.0,1995,15
michael_schumacher,1:14.284,0,0,1995_15,1,3,0.0,1995,15
alesi,1:14.919,0,0,1995_15,5,4,0.0,1995,15
berger,1:14.974,0,0,1995_15,4,5,0.0,1995,15
irvine,1:15.354,0,0,1995_15,11,6,0.0,1995,15
herbert,1:15.556,0,0,1995_15,6,7,0.0,1995,15
frentzen,1:15.561,0,0,1995_15,7,8,0.0,1995,15
panis,1:15.621,0,0,1995_15,8,9,0.0,1995,15
blundell,1:15.652,0,0,1995_15,9,10,0.0,1995,15
barrichello,1:15.774,0,0,1995_15,18,11,0.0,1995,15
magnussen,1:16.339,0,0,1995_15,10,12,0.0,1995,15
suzuki,1:16.519,0,0,1995_15,22,13,0.0,1995,15
lamy,1:16.596,0,0,1995_15,13,14,0.0,1995,15
boullion,1:16.646,0,0,1995_15,23,15,0.0,1995,15
badoer,1:16.887,0,0,1995_15,15,16,0.0,1995,15
katayama,1:17.014,0,0,1995_15,14,17,0.0,1995,15
salo,1:17.213,0,0,1995_15,12,18,0.0,1995,15
morbidelli,1:18.114,0,0,1995_15,19,19,0.0,1995,15
inoue,1:18.212,0,0,1995_15,20,20,0.0,1995,15
diniz,1:19.579,0,0,1995_15,17,21,0.0,1995,15
moreno,1:19.745,0,0,1995_15,16,22,0.0,1995,15
montermini,1:20.093,0,0,1995_15,21,23,0.0,1995,15
gachot,1:21.405,0,0,1995_15,24,24,0.0,1995,15
michael_schumacher,1:38.023,0,0,1995_16,1,1,0.0,1995,16
alesi,1:38.888,0,0,1995_16,16,2,0.0,1995,16
hakkinen,1:38.954,0,0,1995_16,2,3,0.0,1995,16
damon_hill,1:39.032,0,0,1995_16,13,4,0.0,1995,16
berger,1:39.040,0,0,1995_16,18,5,0.0,1995,16
coulthard,1:39.155,0,0,1995_16,14,6,0.0,1995,16
irvine,1:39.621,0,0,1995_16,4,7,0.0,1995,16
frentzen,1:40.010,0,0,1995_16,8,8,0.0,1995,16
herbert,1:40.349,0,0,1995_16,3,9,0.0,1995,16
barrichello,1:40.381,0,0,1995_16,19,10,0.0,1995,16
panis,1:40.838,0,0,1995_16,5,11,0.0,1995,16
salo,1:41.355,0,0,1995_16,6,12,0.0,1995,16
suzuki,1:41.592,0,0,1995_16,24,0,0.0,1995,16
katayama,1:41.977,0,0,1995_16,20,13,0.0,1995,16
morbidelli,1:42.059,0,0,1995_16,23,14,0.0,1995,16
wendlinger,1:42.912,0,0,1995_16,10,15,0.0,1995,16
lamy,1:43.102,0,0,1995_16,11,16,0.0,1995,16
badoer,1:43.542,0,0,1995_16,9,17,0.0,1995,16
inoue,1:44.074,0,0,1995_16,12,18,0.0,1995,16
montermini,1:46.097,0,0,1995_16,17,19,0.0,1995,16
diniz,1:46.654,0,0,1995_16,15,20,0.0,1995,16
moreno,1:48.267,0,0,1995_16,22,21,0.0,1995,16
gachot,1:48.289,0,0,1995_16,21,22,0.0,1995,16
blundell,16:42.640,0,0,1995_16,7,23,0.0,1995,16
damon_hill,0,0,0,1995_17,1,1,0.0,1995,17
coulthard,0,0,0,1995_17,19,2,0.0,1995,17
michael_schumacher,0,0,0,1995_17,15,3,0.0,1995,17
berger,0,0,0,1995_17,13,4,0.0,1995,17
alesi,0,0,0,1995_17,16,5,0.0,1995,17
frentzen,0,0,0,1995_17,12,6,0.0,1995,17
barrichello,0,0,0,1995_17,18,7,0.0,1995,17
herbert,0,0,0,1995_17,10,8,0.0,1995,17
irvine,0,0,0,1995_17,11,9,0.0,1995,17
blundell,0,0,0,1995_17,4,10,0.0,1995,17
brundle,0,0,0,1995_17,14,11,0.0,1995,17
panis,0,0,0,1995_17,2,12,0.0,1995,17
morbidelli,0,0,0,1995_17,3,13,0.0,1995,17
salo,0,0,0,1995_17,5,14,0.0,1995,17
badoer,0,0,0,1995_17,23,15,0.0,1995,17
katayama,0,0,0,1995_17,9,16,0.0,1995,17
lamy,0,0,0,1995_17,6,17,0.0,1995,17
wendlinger,0,0,0,1995_17,21,18,0.0,1995,17
inoue,0,0,0,1995_17,20,19,0.0,1995,17
moreno,0,0,0,1995_17,17,20,0.0,1995,17
diniz,0,0,0,1995_17,7,21,0.0,1995,17
montermini,0,0,0,1995_17,22,22,0.0,1995,17
gachot,0,0,0,1995_17,8,23,0.0,1995,17
hakkinen,0,0,0,1995_17,24,24,0.0,1995,17
villeneuve,1:32.371,0,0,1996_1,2,1,0.0,1996,1
damon_hill,1:32.509,0,0,1996_1,1,2,0.0,1996,1
irvine,1:32.889,0,0,1996_1,3,3,0.0,1996,1
michael_schumacher,1:33.125,0,0,1996_1,13,4,0.0,1996,1
hakkinen,1:34.054,0,0,1996_1,5,5,0.0,1996,1
alesi,1:34.257,0,0,1996_1,18,6,0.0,1996,1
berger,1:34.344,0,0,1996_1,4,7,0.0,1996,1
barrichello,1:34.474,0,0,1996_1,15,8,0.0,1996,1
frentzen,1:34.494,0,0,1996_1,8,9,0.0,1996,1
salo,1:34.832,0,0,1996_1,6,10,0.0,1996,1
panis,1:35.330,0,0,1996_1,7,11,0.0,1996,1
verstappen,1:35.338,0,0,1996_1,17,12,0.0,1996,1
coulthard,1:35.351,0,0,1996_1,16,13,0.0,1996,1
