,driverId,race_id,q1_timing,q2_timing,q3_timing,position,qualifying_pos,prev_year_pos,season,round
61,barrichello,1995_3,1:29.551,0,0,20,10,0.0,1995,3
62,morbidelli,1995_3,1:29.582,0,0,13,11,0.0,1995,3
63,panis,1995_3,1:30.760,0,0,9,12,0.0,1995,3
64,salo,1995_3,1:31.035,0,0,22,13,0.0,1995,3
65,frentzen,1995_3,1:31.358,0,0,6,14,0.0,1995,3
66,katayama,1995_3,1:31.630,0,0,21,15,0.0,1995,3
67,suzuki,1995_3,1:31.913,0,0,11,16,0.0,1995,3
68,verstappen,1995_3,1:32.156,0,0,24,17,0.0,1995,3
69,martini,1995_3,1:32.445,0,0,12,18,0.0,1995,3
70,inoue,1995_3,1:32.710,0,0,25,19,0.0,1995,3
71,badoer,1995_3,1:33.071,0,0,14,20,0.0,1995,3
72,wendlinger,1995_3,1:33.494,0,0,17,21,0.0,1995,3
73,gachot,1995_3,1:33.892,0,0,18,22,0.0,1995,3
74,schiattarella,1995_3,1:33.965,0,0,19,23,0.0,1995,3
75,montermini,1995_3,1:35.169,0,0,23,24,0.0,1995,3
76,moreno,1995_3,1:36.065,0,0,16,25,0.0,1995,3
77,diniz,1995_3,1:36.624,0,0,15,26,0.0,1995,3
78,michael_schumacher,1995_4,1:21.452,0,0,1,1,0.0,1995,4
79,alesi,1995_4,1:22.052,0,0,22,2,0.0,1995,4
80,berger,1995_4,1:22.071,0,0,3,3,0.0,1995,4
81,coulthard,1995_4,1:22.332,0,0,17,4,0.0,1995,4
82,damon_hill,1995_4,1:22.349,0,0,4,5,0.0,1995,4
83,irvine,1995_4,1:23.352,0,0,5,6,0.0,1995,4
84,herbert,1995_4,1:23.536,0,0,2,7,0.0,1995,4
85,barrichello,1995_4,1:23.705,0,0,7,8,0.0,1995,4
86,hakkinen,1995_4,1:23.833,0,0,18,9,0.0,1995,4
87,mansell,1995_4,1:23.927,0,0,24,10,0.0,1995,4
88,brundle,1995_4,1:24.727,0,0,9,11,0.0,1995,4
89,frentzen,1995_4,1:24.802,0,0,8,12,0.0,1995,4
90,salo,1995_4,1:24.971,0,0,10,13,0.0,1995,4
91,morbidelli,1995_4,1:25.053,0,0,11,14,0.0,1995,4
92,panis,1995_4,1:25.204,0,0,6,15,0.0,1995,4
93,verstappen,1995_4,1:25.827,0,0,12,16,0.0,1995,4
94,katayama,1995_4,1:25.946,0,0,16,17,0.0,1995,4
95,inoue,1995_4,1:26.059,0,0,19,18,0.0,1995,4
96,martini,1995_4,1:26.619,0,0,14,19,0.0,1995,4
97,wendlinger,1995_4,1:27.007,0,0,13,20,0.0,1995,4
98,badoer,1995_4,1:27.345,0,0,23,21,0.0,1995,4
99,schiattarella,1995_4,1:27.575,0,0,15,22,0.0,1995,4
100,montermini,1995_4,1:28.094,0,0,26,23,0.0,1995,4
101,gachot,1995_4,1:28.598,0,0,20,24,0.0,1995,4
102,moreno,1995_4,1:28.963,0,0,21,25,0.0,1995,4
103,diniz,1995_4,1:29.540,0,0,25,26,0.0,1995,4
104,damon_hill,1995_5,1:21.952,0,0,2,1,0.0,1995,5
105,michael_schumacher,1995_5,1:22.742,0,0,1,2,0.0,1995,5
106,coulthard,1995_5,1:23.109,0,0,22,3,0.0,1995,5
107,berger,1995_5,1:23.220,0,0,3,4,0.0,1995,5
108,alesi,1995_5,1:23.754,0,0,16,5,0.0,1995,5
109,hakkinen,1995_5,1:23.857,0,0,24,6,0.0,1995,5
110,herbert,1995_5,1:23.885,0,0,4,7,0.0,1995,5
111,brundle,1995_5,1:24.447,0,0,17,8,0.0,1995,5
112,irvine,1995_5,1:24.857,0,0,21,9,0.0,1995,5
113,blundell,1995_5,1:24.933,0,0,5,10,0.0,1995,5
114,barrichello,1995_5,1:25.081,0,0,14,11,0.0,1995,5
115,panis,1995_5,1:25.125,0,0,12,12,0.0,1995,5
116,morbidelli,1995_5,1:25.447,0,0,9,13,0.0,1995,5
117,frentzen,1995_5,1:25.661,0,0,6,14,0.0,1995,5
118,katayama,1995_5,1:25.808,0,0,19,15,0.0,1995,5
119,badoer,1995_5,1:25.969,0,0,11,16,0.0,1995,5
120,salo,1995_5,1:26.473,0,0,13,17,0.0,1995,5
121,martini,1995_5,1:26.913,0,0,7,18,0.0,1995,5
122,boullion,1995_5,1:27.145,0,0,8,19,0.0,1995,5
123,schiattarella,1995_5,1:28.337,0,0,26,20,0.0,1995,5
124,gachot,1995_5,1:29.039,0,0,15,21,0.0,1995,5
125,diniz,1995_5,1:29.244,0,0,10,22,0.0,1995,5
126,verstappen,1995_5,1:29.391,0,0,25,23,0.0,1995,5
127,moreno,1995_5,1:29.608,0,0,23,24,0.0,1995,5
128,montermini,1995_5,1:30.149,0,0,20,25,0.0,1995,5
129,inoue,1995_5,1:31.542,0,0,18,26,0.0,1995,5
130,michael_schumacher,1995_6,1:27.661,0,0,5,1,0.0,1995,6
131,damon_hill,1995_6,1:28.039,0,0,14,2,0.0,1995,6
132,coulthard,1995_6,1:28.091,0,0,22,3,0.0,1995,6
133,berger,1995_6,1:28.189,0,0,11,4,0.0,1995,6
134,alesi,1995_6,1:28.474,0,0,1,5,0.0,1995,6
135,herbert,1995_6,1:28.498,0,0,23,6,0.0,1995,6
136,hakkinen,1995_6,1:28.910,0,0,24,7,0.0,1995,6
137,irvine,1995_6,1:29.021,0,0,3,8,0.0,1995,6
138,barrichello,1995_6,1:29.171,0,0,2,9,0.0,1995,6
139,blundell,1995_6,1:29.641,0,0,15,10,0.0,1995,6
140,panis,1995_6,1:29.809,0,0,4,11,0.0,1995,6
141,frentzen,1995_6,1:30.017,0,0,18,12,0.0,1995,6
142,morbidelli,1995_6,1:30.159,0,0,6,13,0.0,1995,6
143,brundle,1995_6,1:30.255,0,0,10,14,0.0,1995,6
144,salo,1995_6,1:30.657,0,0,7,15,0.0,1995,6
145,katayama,1995_6,1:31.382,0,0,16,16,0.0,1995,6
146,martini,1995_6,1:31.445,0,0,12,17,0.0,1995,6
147,boullion,1995_6,1:31.838,0,0,20,18,0.0,1995,6
148,badoer,1995_6,1:31.853,0,0,8,19,0.0,1995,6
149,gachot,1995_6,1:32.841,0,0,17,20,0.0,1995,6
150,montermini,1995_6,1:32.894,0,0,21,21,0.0,1995,6
151,inoue,1995_6,1:32.995,0,0,9,22,0.0,1995,6
152,moreno,1995_6,1:34.000,0,0,13,23,0.0,1995,6
153,diniz,1995_6,1:34.982,0,0,19,24,0.0,1995,6
154,damon_hill,1995_7,1:17.225,0,0,2,1,0.0,1995,7
155,michael_schumacher,1995_7,1:17.512,0,0,1,2,0.0,1995,7
156,coulthard,1995_7,1:17.925,0,0,3,3,0.0,1995,7
157,alesi,1995_7,1:18.761,0,0,5,4,0.0,1995,7
158,barrichello,1995_7,1:18.810,0,0,6,5,0.0,1995,7
159,panis,1995_7,1:19.047,0,0,8,6,0.0,1995,7
160,berger,1995_7,1:19.051,0,0,12,7,0.0,1995,7
161,hakkinen,1995_7,1:19.238,0,0,7,8,0.0,1995,7
162,brundle,1995_7,1:19.384,0,0,4,9,0.0,1995,7
163,herbert,1995_7,1:19.555,0,0,21,10,0.0,1995,7
164,irvine,1995_7,1:19.845,0,0,9,11,0.0,1995,7
165,frentzen,1995_7,1:20.309,0,0,10,12,0.0,1995,7
166,blundell,1995_7,1:20.527,0,0,11,13,0.0,1995,7
167,salo,1995_7,1:20.796,0,0,15,14,0.0,1995,7
168,boullion,1995_7,1:20.943,0,0,18,15,0.0,1995,7
169,morbidelli,1995_7,1:21.076,0,0,14,16,0.0,1995,7
170,badoer,1995_7,1:21.323,0,0,13,17,0.0,1995,7
171,inoue,1995_7,1:21.894,0,0,22,18,0.0,1995,7
172,katayama,1995_7,1:21.930,0,0,23,19,0.0,1995,7
173,martini,1995_7,1:22.104,0,0,20,20,0.0,1995,7
174,montermini,1995_7,1:23.466,0,0,17,21,0.0,1995,7
175,gachot,1995_7,1:23.647,0,0,19,22,0.0,1995,7
176,diniz,1995_7,1:24.184,0,0,24,23,0.0,1995,7
177,moreno,1995_7,1:24.865,0,0,16,24,0.0,1995,7
178,damon_hill,1995_8,1:28.124,0,0,15,1,0.0,1995,8
179,michael_schumacher,1995_8,1:28.397,0,0,14,2,0.0,1995,8
180,coulthard,1995_8,1:28.947,0,0,3,3,0.0,1995,8
181,berger,1995_8,1:29.657,0,0,20,4,0.0,1995,8
182,herbert,1995_8,1:29.867,0,0,1,5,0.0,1995,8
183,alesi,1995_8,1:29.874,0,0,2,6,0.0,1995,8
184,irvine,1995_8,1:30.083,0,0,24,7,0.0,1995,8
185,hakkinen,1995_8,1:30.140,0,0,19,8,0.0,1995,8
186,barrichello,1995_8,1:30.354,0,0,11,9,0.0,1995,8
187,blundell,1995_8,1:30.453,0,0,5,10,0.0,1995,8
188,brundle,1995_8,1:30.946,0,0,21,11,0.0,1995,8
189,frentzen,1995_8,1:31.602,0,0,6,12,0.0,1995,8
190,panis,1995_8,1:31.842,0,0,4,13,0.0,1995,8
191,katayama,1995_8,1:32.087,0,0,17,14,0.0,1995,8
192,martini,1995_8,1:32.259,0,0,7,15,0.0,1995,8
193,boullion,1995_8,1:33.166,0,0,9,16,0.0,1995,8
194,papis,1995_8,1:34.154,0,0,16,17,0.0,1995,8
195,badoer,1995_8,1:34.556,0,0,10,18,0.0,1995,8
196,inoue,1995_8,1:35.323,0,0,22,19,0.0,1995,8
197,diniz,1995_8,1:36.023,0,0,23,20,0.0,1995,8
198,gachot,1995_8,1:36.076,0,0,12,21,0.0,1995,8
199,moreno,1995_8,1:36.651,0,0,13,22,0.0,1995,8
200,salo,1995_8,1:48.639,0,0,8,23,0.0,1995,8
201,montermini,1995_8,1:52.398,0,0,18,24,0.0,1995,8
202,damon_hill,1995_9,1:44.385,0,0,22,1,0.0,1995,9
203,michael_schumacher,1995_9,1:44.465,0,0,1,2,0.0,1995,9
204,coulthard,1995_9,1:44.540,0,0,2,3,0.0,1995,9
205,berger,1995_9,1:45.553,0,0,3,4,0.0,1995,9
206,barrichello,1995_9,1:45.765,0,0,15,5,0.0,1995,9
207,irvine,1995_9,1:45.846,0,0,9,6,0.0,1995,9
208,hakkinen,1995_9,1:45.849,0,0,10,7,0.0,1995,9
209,blundell,1995_9,1:46.221,0,0,16,8,0.0,1995,9
210,herbert,1995_9,1:46.315,0,0,4,9,0.0,1995,9
211,alesi,1995_9,1:46.356,0,0,18,10,0.0,1995,9
212,frentzen,1995_9,1:46.801,0,0,11,11,0.0,1995,9
213,panis,1995_9,1:47.372,0,0,17,12,0.0,1995,9
214,salo,1995_9,1:47.507,0,0,23,13,0.0,1995,9
215,boullion,1995_9,1:47.636,0,0,5,14,0.0,1995,9
216,papis,1995_9,1:48.093,0,0,24,15,0.0,1995,9
217,badoer,1995_9,1:49.302,0,0,12,16,0.0,1995,9
218,katayama,1995_9,1:49.402,0,0,7,17,0.0,1995,9
219,suzuki,1995_9,1:49.716,0,0,6,18,0.0,1995,9
220,inoue,1995_9,1:49.892,0,0,20,19,0.0,1995,9
221,martini,1995_9,1:49.990,0,0,19,20,0.0,1995,9
222,diniz,1995_9,1:52.961,0,0,21,21,0.0,1995,9
223,moreno,1995_9,1:53.405,0,0,14,22,0.0,1995,9
224,montermini,1995_9,1:53.492,0,0,8,23,0.0,1995,9
225,lavaggi,1995_9,1:54.625,0,0,13,24,0.0,1995,9
226,damon_hill,1995_10,1:16.982,0,0,1,1,0.0,1995,10
227,coulthard,1995_10,1:17.366,0,0,2,2,0.0,1995,10
228,michael_schumacher,1995_10,1:17.558,0,0,11,3,0.0,1995,10
229,berger,1995_10,1:18.059,0,0,3,4,0.0,1995,10
230,hakkinen,1995_10,1:18.363,0,0,24,5,0.0,1995,10
231,alesi,1995_10,1:18.968,0,0,19,6,0.0,1995,10
232,irvine,1995_10,1:19.499,0,0,13,7,0.0,1995,10
233,brundle,1995_10,1:19.748,0,0,14,8,0.0,1995,10
234,herbert,1995_10,1:20.072,0,0,4,9,0.0,1995,10
235,panis,1995_10,1:20.160,0,0,6,10,0.0,1995,10
236,frentzen,1995_10,1:20.413,0,0,5,11,0.0,1995,10
237,badoer,1995_10,1:20.543,0,0,8,12,0.0,1995,10
238,blundell,1995_10,1:20.640,0,0,16,13,0.0,1995,10
239,barrichello,1995_10,1:20.902,0,0,7,14,0.0,1995,10
240,lamy,1995_10,1:21.156,0,0,9,15,0.0,1995,10
241,salo,1995_10,1:21.624,0,0,15,16,0.0,1995,10
242,katayama,1995_10,1:21.702,0,0,17,17,0.0,1995,10
243,inoue,1995_10,1:22.081,0,0,21,18,0.0,1995,10
244,boullion,1995_10,1:22.161,0,0,10,19,0.0,1995,10
245,papis,1995_10,1:23.275,0,0,18,20,0.0,1995,10
246,moreno,1995_10,1:24.351,0,0,22,21,0.0,1995,10
247,montermini,1995_10,1:24.371,0,0,12,22,0.0,1995,10
248,diniz,1995_10,1:24.695,0,0,20,23,0.0,1995,10
249,lavaggi,1995_10,1:26.570,0,0,23,24,0.0,1995,10
250,berger,1995_11,1:54.392,0,0,18,1,0.0,1995,11
251,alesi,1995_11,1:54.631,0,0,23,2,0.0,1995,11
252,hakkinen,1995_11,1:55.435,0,0,24,3,0.0,1995,11
253,herbert,1995_11,1:56.085,0,0,7,4,0.0,1995,11
254,coulthard,1995_11,1:56.254,0,0,22,5,0.0,1995,11
255,blundell,1995_11,1:56.622,0,0,5,6,0.0,1995,11
256,irvine,1995_11,1:57.001,0,0,19,7,0.0,1995,11
257,damon_hill,1995_11,1:57.768,0,0,2,8,0.0,1995,11
258,panis,1995_11,1:58.021,0,0,9,9,0.0,1995,11
259,frentzen,1995_11,1:58.148,0,0,4,10,0.0,1995,11
260,salo,1995_11,1:58.224,0,0,8,11,0.0,1995,11
261,barrichello,1995_11,1:58.293,0,0,6,12,0.0,1995,11
262,brundle,1995_11,1:58.314,0,0,3,13,0.0,1995,11
263,boullion,1995_11,1:58.356,0,0,11,14,0.0,1995,11
264,katayama,1995_11,1:58.551,0,0,15,15,0.0,1995,11
265,michael_schumacher,1995_11,1:59.079,0,0,1,16,0.0,1995,11
266,lamy,1995_11,1:59.256,0,0,10,17,0.0,1995,11
267,inoue,1995_11,2:00.990,0,0,12,18,0.0,1995,11
268,badoer,1995_11,2:01.013,0,0,17,19,0.0,1995,11
269,papis,1995_11,2:01.685,0,0,20,20,0.0,1995,11
270,montermini,1995_11,2:02.405,0,0,21,21,0.0,1995,11
271,moreno,1995_11,2:03.817,0,0,14,22,0.0,1995,11
272,lavaggi,1995_11,2:06.407,0,0,16,23,0.0,1995,11
273,diniz,1995_11,2:09.537,0,0,13,24,0.0,1995,11
274,coulthard,1995_12,1:24.462,0,0,19,1,0.0,1995,12
275,michael_schumacher,1995_12,1:25.026,0,0,16,2,0.0,1995,12
276,berger,1995_12,1:25.353,0,0,14,3,0.0,1995,12
277,damon_hill,1995_12,1:25.699,0,0,17,4,0.0,1995,12
278,alesi,1995_12,1:25.707,0,0,11,5,0.0,1995,12
279,barrichello,1995_12,1:25.919,0,0,12,6,0.0,1995,12
280,hakkinen,1995_12,1:25.920,0,0,2,7,0.0,1995,12
281,herbert,1995_12,1:26.433,0,0,1,8,0.0,1995,12
282,blundell,1995_12,1:26.472,0,0,4,9,0.0,1995,12
283,frentzen,1995_12,1:26.541,0,0,3,10,0.0,1995,12
284,brundle,1995_12,1:27.067,0,0,20,11,0.0,1995,12
285,irvine,1995_12,1:27.271,0,0,13,12,0.0,1995,12
286,panis,1995_12,1:27.384,0,0,18,13,0.0,1995,12
287,boullion,1995_12,1:28.741,0,0,6,14,0.0,1995,12
288,papis,1995_12,1:28.870,0,0,7,15,0.0,1995,12
289,salo,1995_12,1:29.028,0,0,5,16,0.0,1995,12
290,katayama,1995_12,1:29.287,0,0,10,17,0.0,1995,12
291,badoer,1995_12,1:29.559,0,0,15,18,0.0,1995,12
292,lamy,1995_12,1:29.936,0,0,22,19,0.0,1995,12
293,inoue,1995_12,1:30.515,0,0,8,20,0.0,1995,12
294,montermini,1995_12,1:30.721,0,0,23,21,0.0,1995,12
295,moreno,1995_12,1:30.834,0,0,24,22,0.0,1995,12
296,diniz,1995_12,1:32.102,0,0,9,23,0.0,1995,12
297,lavaggi,1995_12,1:32.470,0,0,21,24,0.0,1995,12
298,coulthard,1995_13,1:20.537,0,0,1,1,0.0,1995,13
299,damon_hill,1995_13,1:20.905,0,0,3,2,0.0,1995,13
300,michael_schumacher,1995_13,1:21.301,0,0,2,3,0.0,1995,13
301,berger,1995_13,1:21.970,0,0,4,4,0.0,1995,13
302,frentzen,1995_13,1:22.226,0,0,6,5,0.0,1995,13
303,herbert,1995_13,1:22.322,0,0,7,6,0.0,1995,13
304,alesi,1995_13,1:22.391,0,0,5,7,0.0,1995,13
305,barrichello,1995_13,1:22.538,0,0,11,8,0.0,1995,13
306,brundle,1995_13,1:22.588,0,0,8,9,0.0,1995,13
307,irvine,1995_13,1:22.831,0,0,10,10,0.0,1995,13
308,panis,1995_13,1:22.904,0,0,21,11,0.0,1995,13
309,blundell,1995_13,1:22.914,0,0,9,12,0.0,1995,13
310,hakkinen,1995_13,1:23.064,0,0,19,13,0.0,1995,13
311,boullion,1995_13,1:23.934,0,0,12,14,0.0,1995,13
312,salo,1995_13,1:23.936,0,0,13,15,0.0,1995,13
313,katayama,1995_13,1:24.287,0,0,23,16,0.0,1995,13
314,lamy,1995_13,1:24.657,0,0,22,17,0.0,1995,13
315,badoer,1995_13,1:24.778,0,0,14,18,0.0,1995,13
316,inoue,1995_13,1:24.883,0,0,15,19,0.0,1995,13
317,papis,1995_13,1:25.179,0,0,24,20,0.0,1995,13
318,montermini,1995_13,1:26.172,0,0,18,21,0.0,1995,13
319,diniz,1995_13,1:27.292,0,0,16,22,0.0,1995,13
320,moreno,1995_13,1:27.523,0,0,17,23,0.0,1995,13
321,deletraz,1995_13,1:32.769,0,0,20,24,0.0,1995,13
322,coulthard,1995_14,1:18.738,0,0,3,1,0.0,1995,14
323,damon_hill,1995_14,1:18.972,0,0,16,2,0.0,1995,14
324,michael_schumacher,1995_14,1:19.150,0,0,1,3,0.0,1995,14
325,berger,1995_14,1:19.821,0,0,19,4,0.0,1995,14
326,irvine,1995_14,1:20.488,0,0,6,5,0.0,1995,14
327,alesi,1995_14,1:20.510,0,0,2,6,0.0,1995,14
328,herbert,1995_14,1:20.653,0,0,5,7,0.0,1995,14
329,frentzen,1995_14,1:20.749,0,0,21,8,0.0,1995,14
330,hakkinen,1995_14,1:20.866,0,0,8,9,0.0,1995,14
331,blundell,1995_14,1:20.909,0,0,23,10,0.0,1995,14
332,barrichello,1995_14,1:21.211,0,0,4,11,0.0,1995,14
333,brundle,1995_14,1:21.541,0,0,7,12,0.0,1995,14
334,boullion,1995_14,1:22.059,0,0,18,13,0.0,1995,14
335,panis,1995_14,1:22.062,0,0,22,14,0.0,1995,14
336,salo,1995_14,1:23.058,0,0,10,15,0.0,1995,14
337,lamy,1995_14,1:23.328,0,0,9,16,0.0,1995,14
338,papis,1995_14,1:23.689,0,0,12,17,0.0,1995,14
339,badoer,1995_14,1:23.760,0,0,11,18,0.0,1995,14
340,tarquini,1995_14,1:24.286,0,0,14,19,0.0,1995,14
341,montermini,1995_14,1:24.696,0,0,17,20,0.0,1995,14
342,inoue,1995_14,1:24.900,0,0,24,21,0.0,1995,14
343,diniz,1995_14,1:25.157,0,0,13,22,0.0,1995,14
344,moreno,1995_14,1:26.098,0,0,20,23,0.0,1995,14
345,deletraz,1995_14,1:27.853,0,0,15,24,0.0,1995,14
346,coulthard,1995_15,1:14.013,0,0,2,1,0.0,1995,15
347,damon_hill,1995_15,1:14.213,0,0,3,2,0.0,1995,15
348,michael_schumacher,1995_15,1:14.284,0,0,1,3,0.0,1995,15
349,alesi,1995_15,1:14.919,0,0,5,4,0.0,1995,15
350,berger,1995_15,1:14.974,0,0,4,5,0.0,1995,15
351,irvine,1995_15,1:15.354,0,0,11,6,0.0,1995,15
352,herbert,1995_15,1:15.556,0,0,6,7,0.0,1995,15
353,frentzen,1995_15,1:15.561,0,0,7,8,0.0,1995,15
354,panis,1995_15,1:15.621,0,0,8,9,0.0,1995,15
355,blundell,1995_15,1:15.652,0,0,9,10,0.0,1995,15
356,barrichello,1995_15,1:15.774,0,0,18,11,0.0,1995,15
357,magnussen,1995_15,1:16.339,0,0,10,12,0.0,1995,15
358,suzuki,1995_15,1:16.519,0,0,22,13,0.0,1995,15
359,lamy,1995_15,1:16.596,0,0,13,14,0.0,1995,15
360,boullion,1995_15,1:16.646,0,0,23,15,0.0,1995,15
361,badoer,1995_15,1:16.887,0,0,15,16,0.0,1995,15
362,katayama,1995_15,1:17.014,0,0,14,17,0.0,1995,15
363,salo,1995_15,1:17.213,0,0,12,18,0.0,1995,15
364,morbidelli,1995_15,1:18.114,0,0,19,19,0.0,1995,15
365,inoue,1995_15,1:18.212,0,0,20,20,0.0,1995,15
366,diniz,1995_15,1:19.579,0,0,17,21,0.0,1995,15
367,moreno,1995_15,1:19.745,0,0,16,22,0.0,1995,15
368,montermini,1995_15,1:20.093,0,0,21,23,0.0,1995,15
369,gachot,1995_15,1:21.405,0,0,24,24,0.0,1995,15
370,michael_schumacher,1995_16,1:38.023,0,0,1,1,0.0,1995,16
371,alesi,1995_16,1:38.888,0,0,16,2,0.0,1995,16
372,hakkinen,1995_16,1:38.954,0,0,2,3,0.0,1995,16
373,damon_hill,1995_16,1:39.032,0,0,13,4,0.0,1995,16
374,berger,1995_16,1:39.040,0,0,18,5,0.0,1995,16
375,coulthard,1995_16,1:39.155,0,0,14,6,0.0,1995,16
376,irvine,1995_16,1:39.621,0,0,4,7,0.0,1995,16
377,frentzen,1995_16,1:40.010,0,0,8,8,0.0,1995,16
378,herbert,1995_16,1:40.349,0,0,3,9,0.0,1995,16
379,barrichello,1995_16,1:40.381,0,0,19,10,0.0,1995,16
380,panis,1995_16,1:40.838,0,0,5,11,0.0,1995,16
381,salo,1995_16,1:41.355,0,0,6,12,0.0,1995,16
382,suzuki,1995_16,1:41.592,0,0,24,0,0.0,1995,16
383,katayama,1995_16,1:41.977,0,0,20,13,0.0,1995,16
384,morbidelli,1995_16,1:42.059,0,0,23,14,0.0,1995,16
385,wendlinger,1995_16,1:42.912,0,0,10,15,0.0,1995,16
386,lamy,1995_16,1:43.102,0,0,11,16,0.0,1995,16
387,badoer,1995_16,1:43.542,0,0,9,17,0.0,1995,16
388,inoue,1995_16,1:44.074,0,0,12,18,0.0,1995,16
389,montermini,1995_16,1:46.097,0,0,17,19,0.0,1995,16
390,diniz,1995_16,1:46.654,0,0,15,20,0.0,1995,16
391,moreno,1995_16,1:48.267,0,0,22,21,0.0,1995,16
392,gachot,1995_16,1:48.289,0,0,21,22,0.0,1995,16
393,blundell,1995_16,16:42.640,0,0,7,23,0.0,1995,16
394,damon_hill,1995_17,0,0,0,1,1,0.0,1995,17
395,coulthard,1995_17,0,0,0,19,2,0.0,1995,17
396,michael_schumacher,1995_17,0,0,0,15,3,0.0,1995,17
397,berger,1995_17,0,0,0,13,4,0.0,1995,17
398,alesi,1995_17,0,0,0,16,5,0.0,1995,17
399,frentzen,1995_17,0,0,0,12,6,0.0,1995,17
400,barrichello,1995_17,0,0,0,18,7,0.0,1995,17
401,herbert,1995_17,0,0,0,10,8,0.0,1995,17
402,irvine,1995_17,0,0,0,11,9,0.0,1995,17
403,blundell,1995_17,0,0,0,4,10,0.0,1995,17
